year,filing_date,accession_number,detail_url,primary_doc_url,txt_url,saved_file,size_kb
2025,2025-09-03,0000858877-25-000111,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/0000858877-25-000111-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/csco-20250726.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/0000858877-25-000111.txt,data\2025_10K.txt,388
2024,2024-09-05,0000858877-24-000017,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/0000858877-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/csco-20240727.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/0000858877-24-000017.txt,data\2024_10K.txt,402
2023,2023-09-07,0000858877-23-000023,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/0000858877-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/0000858877-23-000023.txt,data\2023_10K.txt,383
2022,2022-09-08,0000858877-22-000013,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/0000858877-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/0000858877-22-000013.txt,data\2022_10K.txt,403
2021,2021-09-09,0000858877-21-000013,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013.txt,data\2021_10K.txt,400
