Word,Degree (norm),Degree (raw),Betweenness,Closeness
vice,0.024501,70,0.002994,0.43092
president,0.027651,79,0.000904,0.437251
scott,0.00385,11,4e-06,0.360641
herr,0.00665,19,0.0,0.379516
maria,0.0014,4,1e-06,0.312719
martinez,0.00385,11,3.7e-05,0.357975
deborah,0.0021,6,1e-06,0.325547
stahlkopf,0.011201,32,0.000297,0.369169
serf,0.0049,14,1.3e-05,0.372879
member,0.007,20,0.000111,0.369695
joined,0.0063,18,4.3e-05,0.371135
march,0.018201,52,0.000285,0.434723
managerial,0.00595,17,3.2e-05,0.383387
promoted,0.00665,19,8.9e-05,0.376367
assuming,0.00665,19,0.000262,0.37791
additionally,0.023101,66,0.000497,0.450489
assumed,0.022051,63,0.000264,0.438257
canada,0.00945,27,0.000244,0.401941
senior,0.040602,116,0.002918,0.462597
appointed,0.0021,6,0.0,0.339311
october,0.00875,25,6.8e-05,0.388232
served,0.016451,47,0.00034,0.414358
blackrock,0.00315,9,6.3e-05,0.356635
april,0.011551,33,0.000554,0.403816
february,0.019601,56,0.000172,0.433273
joining,0.010501,30,0.000458,0.382771
spent,0.0035,10,1.2e-05,0.355879
autodesk,0.0035,10,0.0,0.365065
november,0.00665,19,0.00011,0.394015
citrix,0.0049,14,0.0,0.351501
finance,0.0028,8,1.5e-05,0.359507
fedex,0.00035,1,0.0,0.293779
appointment,0.0007,2,0.0,0.312275
latin,0.00035,1,0.0,0.30426
motorola,0.00035,1,0.0,0.329299
bell,0.00035,1,0.0,0.329299
counsel,0.00525,15,1.3e-05,0.3458
secretary,0.00315,9,2.7e-05,0.339231
external,0.012601,36,0.000193,0.400757
affair,0.0063,18,7.3e-05,0.350897
deputy,0.0035,10,4.6e-05,0.328014
associate,0.0021,6,3e-06,0.336039
practiced,0.0035,10,0.000164,0.339513
perkins,0.00315,9,2.3e-05,0.324991
coie,0.0028,8,1e-05,0.324254
llp,0.00665,19,0.00021,0.351847
cooley,0.0021,6,0.0,0.320363
godward,0.00175,5,0.0,0.320256
forth,0.011551,33,0.000249,0.405593
description,0.012251,35,0.000263,0.416351
cause,0.023801,68,0.001452,0.447876
contemplated,0.00665,19,0.000129,0.386081
contained,0.010501,30,7.3e-05,0.402338
resulting,0.045852,131,0.002419,0.468284
measure,0.036402,104,0.00124,0.452917
caused,0.016801,48,0.00044,0.432159
half,0.0014,4,0.0,0.317022
second,0.007,20,4.8e-05,0.380933
quarter,0.032202,92,0.000733,0.448016
saw,0.00245,7,5e-06,0.381595
constraint,0.025201,72,0.000424,0.44571
least,0.00735,21,0.000426,0.391102
potentially,0.00315,9,8.1e-05,0.351804
duration,0.0077,22,3.8e-05,0.401377
continuing,0.00385,11,5e-05,0.381697
decline,0.031152,89,0.000511,0.458293
taken,0.016451,47,0.000865,0.419161
capital,0.048302,138,0.000923,0.473013
spending,0.020301,58,0.000141,0.437118
reduction,0.034652,99,0.000726,0.453997
unable,0.022051,63,0.000597,0.432289
adjust,0.012951,37,0.000182,0.419038
governmental,0.00455,13,7e-06,0.390888
negative,0.012251,35,0.000114,0.407968
limitation,0.012951,37,0.000156,0.406055
restriction,0.0049,14,1.1e-05,0.356012
volatility,0.033252,95,0.000444,0.448438
led,0.0007,2,0.0,0.351026
liquidity,0.028701,82,0.001246,0.44978
judgment,0.039552,113,0.001361,0.45056
considered,0.024151,69,0.000541,0.431441
input,0.027651,79,0.000333,0.443565
implication,0.00245,7,0.0,0.342607
carry,0.007,20,9e-06,0.37766
degree,0.016801,48,0.000291,0.430271
variability,0.011551,33,0.000159,0.410135
outside,0.020651,59,0.000465,0.439471
timing,0.037802,108,0.00221,0.460955
account,0.039902,114,0.00158,0.453852
structure,0.010501,30,0.00011,0.421635
fluctuate,0.00595,17,1.1e-05,0.400084
contribute,0.010151,29,0.000229,0.410666
pronounced,0.00315,9,1.8e-05,0.355172
implementation,0.011551,33,0.000245,0.426163
cycle,0.00945,27,0.000213,0.419469
reduced,0.020301,58,0.000512,0.44384
movement,0.011201,32,0.000198,0.411197
toward,0.0035,10,1.9e-05,0.374394
consolidation,0.016801,48,0.000161,0.4261
adoption,0.00875,25,0.000116,0.417507
